beta	alpha	delta	gamma
PTBP2	0.558215749878517	0.333686080944195	0.363002822988679	2.23572705983806
SRPRB	7.44178249978065	5.74869872202521	5.8496290336271	5.29768299388444
OSTC	7.15639189275161	6.28539040563042	6.42992388480479	5.40681895041582
ABRACL	6.37285986646237	0	0	0
MRPL14	1.86701352727362	2.86673962328178	0.795351365166559	1.82346405341863
MRPS24	1.95562290949099	2.20743383730496	0.9061209529971	2.14717642698095
MRPL40	4.10500289145385	3.05371837013899	2.82814410236563	0.835600745019295
MRPL36	4.52105703097961	3.12092661228456	4.28054066279671	0
MRPL32	1.9311074534189	1.36957591717692	1.0871233436512	0
VKORC1	5.8940759147275	6.38368056892172	3.84005025681467	4.81479649118215
CUEDC2	0	0	0	0
TMEM106C	1.0327830677473	2.69460975807946	0.702036895912684	1.73135704978166
APOO	0	0.821549044338734	0	0
ZFAND1	3.19511888076178	1.62936252402105	0	0
RPP21	3.43725233546748	3.32585459833069	0.995665409736109	2.41578570328267
THOC7	4.18542861604602	4.08576719885248	2.96851474067542	4.43478833288414
TM2D3	3.49824941251604	3.40382504838129	1.73586872907358	2.25761413004954
MED28	0.69123955043542	1.00906968226351	0	0
WDR61	2.61948343978978	3.62602650780706	3.79250140107239	1.57826247996957
ANP32E	7.99431721361793	6.97104096459246	7.36042573376224	5.42523772717566
SH3BGRL3	4.87970207919371	6.12640089126037	5.75743934852666	5.96957416742615
SF3B5	6.81575340092529	5.82330102025145	7.01189923821738	5.9233845383483
RAB33B	5.18480538078952	0.154955642795342	0.700972307222716	1.25108280331699
KCNK16	4.48796553081949	2.13794139780703	1.62053949277709	0
TM2D1	4.63881820465802	3.56489892877786	3.04872444273616	1.28676288924956
IFI27L2	4.1754760593204	6.03838292801454	5.70328623083991	6.25505123718958
SLC41A2	2.01550936946105	3.49154677608164	0.393855477339029	1.78580161532378
LOXL4	0	5.17121800564682	0	0
FAM96A	3.34795925016007	3.68013172374787	4.08281327344317	4.58962568145869
TMEM126A	0	0	0	0
PSMG3	1.01295408669857	1.02011756535715	0	0
NTPCR	4.16655304021357	0	4.33963625445237	0
EIF1AD	4.52593655853256	1.64749394276026	2.44670617468522	0.506601942191015
MIEN1	4.98370174396062	4.49847651700767	4.9371089462026	5.62933913276101
MNF1	5.35356830420046	6.18761498428906	5.34940066508801	4.48453775007978
VPS25	0	1.07435904536063	0	0.858776745308193
SARNP	3.82333479275638	4.88648933246121	2.43980927974703	3.67509327382029
CYSTM1	7.93734716667965	9.45922876862442	8.65703113259847	8.55026734625576
C15orf48	2.18455977370843	6.00146108342993	4.72524490620386	6.41960293496558
DPY30	5.11429931788307	5.31038843061316	4.07602029261316	5.36405759245608
MCEE	0	0	0	0
TMEM209	5.5812349655435	2.8178111077774	4.50747118659228	0.295017665151298
LSM10	0	0	0	0
TMEM141	2.28377671142189	3.72221061826422	2.96219732892684	2.04568759307542
TMEM60	5.21498299854214	5.07309602271358	2.83177592478018	0
EAF1	5.9076686940373	3.75129216716764	4.95124740843104	1.50807363995255
TSR2	4.20139844200832	1.8829215686005	1.14319747577586	1.09720624597437
NDUFAF2	3.18167266282501	2.46533836776506	2.40419467649539	2.16979675618325
SAT2	3.74592570226415	1.17616415365439	2.51323806233309	1.24774526676997
GTF3C6	3.01829106747858	4.8481714148181	2.31912654812817	4.84586635709116
WBSCR22	3.79084000459351	4.74189213100627	3.0703893278914	1.25688988553589
MRPL53	3.18837862502831	3.46583615255639	1.36479652285873	0
MRPL54	0	0	1.56208364269616	0
AEBP2	5.91614033237896	4.18692370538301	1.60828883258118	1.98812113046402
TMEM219	4.74203715203579	5.1354352860297	2.97004375126224	3.77761960107213
OCIAD2	6.3721900316186	4.2955541750998	5.51000929955731	4.60282503733048
NUDCD2	0.923034750770569	0	0	0
TCEAL2	2.08819347439987	3.55743424856616	4.77390140784143	4.69440664374355
SELM	0	0.909613219334674	4.61518085131524	3.38219688238914
CPNE8	0	5.63732050923452	2.65468757800051	2.07505336460451
MDP1	0	0	0	0
BROX	7.24556530580476	5.73979879939855	5.20791236848769	4.04366821744421
COMMD1	1.10383007338734	3.25426824149185	0	2.21119913969326
CCDC12	2.82014982354917	2.31015533462284	2.54591896089484	1.63045206940681
FAM171B	6.90601562766235	4.6414012096652	6.02107324590293	4.90488385449328
THAP5	7.01310775923178	5.36020796717064	6.10602371010909	3.41498790578442
HIGD2A	5.30382801665505	5.77708603876942	5.52671049290876	5.69878521933484
NSMCE1	0	0	0.667846721052639	0
FAM76A	6.94329785835349	5.12893341775785	6.28921108035716	2.46837478232777
TXLNA	6.80942674250715	3.107321767147	3.57381075939012	1.94538296682437
SLC39A11	0	0.688400385728527	0.97033831408107	0
CDC26	0	0	1.09085343045111	0
HEPACAM2	4.20048748903661	4.10785905108518	6.86016204375586	4.59285764720768
LCLAT1	1.77063525608508	5.18699435408116	0.408603179343371	0.378400642443576
TMEM256	0	2.45544960365362	0	0
CNEP1R1	0	0	0	0
C19orf77	0	6.42260252709203	0	0
IAH1	0	0	0.630498665826265	0
C2orf74	2.71639739586203	1.66739296886499	4.45561655234653	1.52105073690096
IGFBPL1	0	4.89484673204268	0.294782468698073	0
GSTK1	0	1.39184970451131	0	1.10124665668344
TMEM179B	3.00948214463419	3.15833358599464	0.381061828424588	1.13435238662336
C12orf75	2.60680784762848	4.81502619179754	0	2.64869551958324
BOLA3	3.9718362412209	4.08643378421272	3.8192492097992	2.80368168242427
LAMTOR4	6.8165512676428	6.77563942068525	7.39161737411732	6.71779704240741
NUDT19	6.07785749604572	0.482527370050601	0	0
TOMM5	6.87344118442113	6.53392500890939	6.9671455463662	3.97703258314884
C18orf42	0	0.545812177548158	0	0
SCARNA22	1.01855051800388	3.24701604008387	3.33649763359523	0
SNORA12	0	3.02266059945524	0	3.25432192484499
FABP5P7	0	5.16194154446097	0	4.72869331429024
RELL1	6.53955398989882	0.417811528532068	0	0.440633335161527
OST4	7.89217377415595	7.92100363710145	7.97314399991686	7.71394320703343
LOC100128906	0	0.765234543431173	7.61869162948852	8.34906577616925
TSTD1	6.57180660079918	5.81390803496435	5.51988152945939	5.89789626701154
PET100	7.11344347527323	7.39644132747959	7.30847464620115	6.94343495604543
FAM159B	6.05049494855627	0	0	2.35696073038077
TOMM6	5.86664922276303	6.20341267565142	5.95665377854013	5.5604214951303
MIR1282	0	3.04070566246037	4.49592536155138	4.66502886763704
ZMYM6NB	3.1768607624201	3.69864294581366	2.76030612151913	0
MIR4426	0	0	4.28826257621901	5.05839875976932
