beta	ductal	delta	schwann	quiescent_stellate	endothelial	gamma	alpha	macrophage	immune_other	activated_stellate	B_cell	T_cell
Mcl1	0	1.56558309110395	0	1.59532113960987	1.75735034469047	1.80068905880607	0	0	2.19953365134859	2.6213501751044	1.54810433581115	0	2.6050540795089
Meg3	4.12586973143477	0	4.16984978323986	0	0	0	3.64893634350557	4.1830219255208	0	0	0	0	0
Meis2	0	0	1.64817865734128	0	0	0	1.18997054374188	0	0	0	0	0	0
Mest	0	0	0	0.941198615327083	0	0	0	0	0	0	0	0	0
Mfge8	0	0	0	0	0.926436005708313	0	0	0	0	0	2.16214913496706	0	0
Mgll	0	0	0	0	0	1.24980709134863	0	0	0	0	0	0	0
Mgp	0	0	0	0	4.64166160456628	0	0	0	0	0	0	0	0
Mgst1	0	0.416106589901083	0	0	0	0	0	0	0	0	0	0	0
Mif	2.33077945832267	1.58100670842487	1.75939239982942	2.72494831551162	3.65629346813417	2.13801446627352	0.799120066104102	2.04478958592525	2.967493737395	1.25984555933415	3.33174478951697	0.589728191916926	1.86348700078122
Mmrn2	0	0	0	0	0	2.16110481091454	0	0	0	0	0	0	0
Msln	0	0	0	0	0	0	0	0	0	0	0	0	0
Msn	0	1.28304519461281	0	3.55386673412028	3.0573659646033	2.83092499000222	0	0	1.73065680372306	0.561600228867886	2.7019234645607	2.44428017156382	1.85140467318243
Mt1	3.4926451568827	2.99447010602597	2.22944503159167	2.60732276449757	2.04086100951596	0	2.47326702288692	1.71513336303636	5.21159196241541	1.12354584347649	3.61711855837734	0	0
Mt2	3.02488174313911	3.33308020085562	1.40085334261513	1.7000036949934	1.89794637314526	0	2.08793806480393	1.36857021146832	5.12319804085666	0	3.05678462836127	0	0
Mthfd1l	0	0	0	0	0	0	0	0	0	0	0	0	0
Muc1	0	0	0	0	0	0	0	0	0	0	0	0	0
Myc	0	0.965045337115188	0	0.266602429137951	0	0	0	0	0	0	0	0	0
Myct1	0	0	0	0	0	1.63195226428816	0	0	0	0	0	0	0
Myh9	0	2.16032565055297	0	1.32663385253365	1.50796316120891	1.69721134014073	0	0	1.17711591473452	2.41000028466319	1.30579098358909	1.43498527218857	1.85140467318243
Myl12a	0	3.03867591737304	0	2.22128051080946	1.68387546624625	2.29773884019644	0.867852216571264	0.771134197532337	1.90731376696993	3.17304241878397	2.26612564694269	0.347398600843332	2.06434935508228
Myof	0	0	0	0	0	0	0	0	0	0	0	0	0
Ndrg1	0.53454883960798	1.11971071484644	0	0.594108838074702	0	1.49224194274354	0.947395486181381	0.939961591577618	0	0	0.847039328936282	0	0
Neat1	1.31688081070296	0	0	0	0	0	1.27927286765261	0	0	1.31385767227085	0	0	0
Nedd9	0	0	0	0	0	1.12875733437507	0	0	0	0	0	0	0
Nfib	0	1.81120239630993	0	0.633339599522415	0	1.21944054179343	0	0	0	0	0	0	0
Nfix	0	0.877668346190797	0	0.644692336389201	0	0	0	0	0	0	0.371343611067417	0	0
Nfkb1	0	0	0	0.582479582463432	0	0	0	0	0	1.75086388029644	1.39028342023045	0	1.86348700078122
Nfkbia	0	2.35364154966482	0	0.852277764290524	0	2.39944325859072	0	0	1.09169250532173	2.51779683873247	0.209308087524121	0	0
Ngf	0	0	0	0	2.32612042051829	0	0	0	0	0	0	0	0
Nkx6.1	0.984512274972348	0	0	0	0	0	0	0	0	0	0	0	0
Npm1	0.543978328304857	2.67851997542925	0.939199614132952	2.98510057783045	2.1564397710963	1.45733501275167	1.1474159648442	1.55478413211321	0	0	2.5937349739187	1.23855007270146	1.85140467318243
Nr4a1	0	0	0	0	0	0	0	0	0	0	0	0	0
Nrp1	0	0	0	0	0	2.17762199662424	0	0	0	0	0	0	0
Nupr1	0	1.58266990925197	0	0	0	0	0	0	0	0	0	0	0
Odc1	0.665111664054654	0.762191038564057	0	1.26225708662146	1.20772669491551	1.03600706032603	0	0	0	0	1.81754383753535	0	0
Onecut2	0	1.91912255187867	0	0	0	0	0	0	0	0	0	0	0
Pak1ip1	0	0	0	1.56364042102195	0	0	0	0	0	0	0	0	0
Pak3	0	0	1.19415865484793	0	0	0	0	1.26928801086623	0	0	0	0	0
Palld	0	0	0	0.32881518306372	0	0	0	0	0	0	0	0	0
Pam	1.93729957836172	0	2.14623404228136	0.881343287597243	0	0	1.54523997775216	2.34804899139079	0	0	0	0	0
Papss2	1.53015267195115	0	0	0	0	0	0	0	0	0	0	0	0
Pax6	1.52060938245224	0	1.54619212563671	0	0	0	1.71215521561235	1.40741807825141	0	0	0	0	0
Pbx1	0	1.87015316971043	0.665042187120713	0	0	0	0.848985753446101	0	0	0	0.371343611067417	0	0
Pcsk1	0.702785642838523	0	0	0	0	0	0	0	0	0	0	0	0
Pcsk1n	3.01771434835558	0	3.32165325436243	0.270720009003585	0	0	3.57188629316441	4.55669051313889	0	0	0	0	0
Pcsk2	4.11899627548368	0	4.50457889102749	0.733709330277122	0	0	4.73549474849174	5.25476090426689	0	0.470044369471937	0	0	1.71398655560619
Pde4b	0	0	0	0.327506408936751	1.44304497430972	1.94867363143875	0	0	0	1.60475097547789	0	0	0
Pdgfb	0	0	0	0	0	0	0	0	0	0	0	0	0
Pdia6	1.79980218291244	0	1.88110797937111	0.643383562262233	1.29338715946986	0.900905688890272	1.37067571905643	1.44398820305431	1.35712530651331	0	1.72838952280725	0	0
Pdlim1	0	0	0	1.81529165495233	1.00262163080683	1.04829448335804	0	0	0	0	0	0	0
Pdlim7	0	0.789326231500763	0	1.58601177732341	1.48051676901618	1.20536965988377	0	0	0	0	0.996319199370931	0	0
Pdyn	0	0	0	0	0	0	0	0	0	0	0	0	0
Pecam1	0	0	0	0	0	3.2929080376227	0	0	0	0	0	0	0
Peg3	1.53380834326323	0	2.27606262591048	0	0	0	1.87518848208803	1.83949850999286	0	0	0	0	0
Pfn1	0	1.5076175590619	0	2.07882719529089	1.28206942438623	1.44872443778584	0	0	2.29410268457115	3.39021702647019	1.83122298184144	0.347398600843332	2.26058545353588
Pgam1	2.00230100921142	1.02629961887217	1.88110256853513	1.94022924757707	2.06155337747468	1.80651275941679	1.58562193157691	1.81933597428151	2.967493737395	0.470044369471937	2.37516268769145	0	0
Phlda1	0	0	0	0.86363050115731	1.95000218864702	0	0	0	0	0	1.87862127287984	0	0
Pianp	0	0	0	0	0	0	0	0	0	0	0	0	0
Pim1	0	0	0	0	0	0	0	0	0	2.54429361938914	0	0	0
Pla2g7	0	0	0	0	0	0	0	0	3.39659220923263	1.98175486723611	0	0	0
Plat	0	0	0	1.3238536687937	0	2.08919704634394	0	0	0	0	0	0	0
Pld3	0	0	1.52494884666693	0	0	0	0.504356975091498	0	1.51745724260229	0	0	0	0
Plec	0	1.04527345719115	0	1.75210961714293	1.110275162126	0	0	0	0	0	0.479720186148291	0	0
Plet1	0	0.667749012746486	0	0	0	0	0	0	0	0	0	0	0
Plin2	0	0	0	1.48221780837708	1.39634997520226	1.45126421178423	0	0	2.92373895128364	0	1.2105252827707	0	0
Plk2	0	0	0	0	0	1.51142870237535	0	0	0	0	0	0	0
Plpp1	0	0	0	0.32881518306372	0	1.67120341642523	0	0	0	0	0	0	0
Plpp3	0	0	0	1.47111598728835	0	2.51064882384199	0	0	0	0	0.642868369429009	0	0
Pls3	0	0	0	1.80322716856815	0	0	0	0	0	0	0	0	0
Plscr1	0	1.6049111754493	0	0	0	0	0	0	0	0.470044369471937	0	0	0
Plvap	0	0	0	0	0	3.26580542857435	0	0	0	0	0	0	0
Pmepa1	0	1.56520797626005	0	3.25874270695497	1.39898918664837	2.17129464713116	0	0	0	0	2.12513832461502	0	1.85140467318243
Pnrc1	0	1.93993674565755	0	0	1.110275162126	1.35498323532953	0	0	0	0	0	0	0
Podxl	0	0	0	0	0	1.55700499395757	0	0	0	0	0	0	0
Ppia	2.04912471590252	3.39818545248366	2.37879036420348	3.84976410403259	3.43216907928602	3.40047679692822	2.12687308704398	2.28319121313715	3.3865272089237	4.11519697310341	3.47569464698518	3.60318235112666	4.26643339908718
Ppp1r18	0	0	0	1.38419401473806	1.29338715946986	1.26809619478986	0	0	0.992484194147719	0	0	0	2.6050540795089
Ppy	1.07018590189749	1.94398921311106	4.78133077066056	0.776702226223482	2.30589243327353	1.50830893602223	10.2107788474004	1.56084614817408	1.07180151613986	0.584668438866017	0.776965000865808	0.353522534360156	2.88066714248514
Prlr	1.57057254597743	0	0	0	0	0	0	0	0	0	0	0	0
Procr	0	0	0	0	1.22805135536341	0.900905688890272	0	0	0	0	2.00611122070428	0	0
Prss23	0	0	0	0	0	1.96673438033084	0	0	0	0	0	0	0
Prss53	2.04536049436594	0	0	0	0	0	0	0	0	0	0	0	0
Psat1	0	0	0	0.266602429137951	0	0	0	0	0	0	0	0	0
Ptma	2.25073350077682	3.77267646497022	2.79097067389686	3.76852837830831	3.41084263561873	4.12522411219145	2.50203041263084	2.81022997555867	2.62890983159648	1.68817153808372	2.8946693817122	3.54614648996966	2.6050540795089
Ptp4a1	0.710395274283595	2.7069021764612	0	1.44386053588924	1.07920055466095	0.769109616531686	0.737361288848285	0.77624371897964	0	0	0.69051136049525	0	0
Ptp4a3	0	0	0	0	3.69832960181458	0	0	0	0	0	0	0.580883799360335	0
Ptprb	0	0	0	0	0	1.83147950511347	0	0	0	0	0	0	0
Ptprn	2.85923228500595	0	3.07504467898471	0	0	0	2.76105273568392	2.63559221207263	0	0	0	0	0
Ptrf	0	0	0	0.818522400395542	0	0	0	0	0	0	0	0	0
Pxn	0	0	0	0.864661094738529	0	1.05811799978716	0	0	0	0.789801189862213	0	0	0
Pyy	1.02053541401081	1.37321153311707	7.34566065381622	0.927931974037172	1.33526909095095	1.27673080843599	8.97855216004062	5.02162164105134	1.39016528885016	0	0.864088562228771	0	2.47542790899956
Ramp3	0	0	0	0	0	1.90083548885623	0	0	0	3.57625125697584	0	0	2.72878583380651
Rap1gap2	0.730974266673383	0	1.54475444253308	0	0	0	0	0.827801532547373	0	0	0	0	0
Rbms1	0	1.11751836961944	0	1.6959483694559	2.11179739312783	1.03600706032603	0	0	1.6669537771485	1.3514014187301	1.36079716645909	0	0
Rbp4	0	0	4.05361464583288	0	0	0	1.25304838662877	2.28319121313715	0	0	0	0	0
Resp18	1.73648192056208	0	3.07540102522448	0	0	0	2.75977164128511	3.56036741778028	0	0	0	0	0
Rgcc	0	0	0	0	0	1.0776776224967	0	0	0	0	0	0	0
Rgs1	0	0	0	0	0	0	0	0	1.43506527500783	3.87958315128062	0	0	0
Rgs2	0	0	0	0	0	0	0	0	0.536903016055548	0	0	0	0
Rgs4	0	0	0	0	1.43616847880758	0	0	0	0	0	0	0	0
Rgs5	0	0	0	0	3.46902001511546	0	0	0	0	0	0	0	0
Rhob	0	1.78899935059189	0	1.88397721520856	1.62887536121157	2.36016441258508	0	0	0	0	1.42290539771227	0	0
Rhoc	0	1.02629961887217	0	1.91125299763285	2.44349491017467	2.6672689940383	0	0	0	0	2.02531049778917	0	0
Rhou	0	0	0	0	0	0	0	0	0	0	0	0	0
Rnase4	0.550495826528196	0	0	0	0	0	0	1.33314590009014	0	0	0	0	0
Robo4	0	0	0	0	0	1.57502548041833	0	0	0	0	0	0	0
Rpl17	1.90356189608587	3.33713977000014	2.41191729421506	3.64296092357513	2.89668649585863	2.62970585968369	2.95147512835309	3.23640942859758	2.13279054271822	3.15803199662864	3.60940965943634	4.54773198565496	3.77923999871063
Rpl23	1.75262654185145	3.54593041462978	2.3125747031623	3.63590313115236	3.06631807241472	3.35868394484164	2.37549145866092	3.28238797213308	2.32552925171851	2.68226759914338	3.54408244303306	4.58108187031098	3.91384086590541
Rpl27a	2.47763515285509	3.46428264296838	2.78799123683827	3.98447407677849	3.19562125827828	3.11573379035077	3.04861607509066	3.94693809044878	2.25856628820782	3.08895797864932	4.03809653713089	4.18001362136573	3.15649101921873
Rpl7	1.469101619202	3.18957101878795	1.70428335773162	3.61126654056062	2.77035080662651	2.79358700044172	1.9595675087947	2.78724419238617	2.05794498382041	2.32614158121206	2.65764742464723	4.11271166173927	3.15649101921873
Rps14	1.88845437736156	3.40011941466319	2.3737210887445	3.54270093132086	2.73016863824175	3.14158913659917	2.82452806670784	3.32401777707791	2.38322679257924	3.62773750787366	3.37872005674007	4.75190638146834	4.01501898946762
Rps16	1.526235287805	3.172313978082	2.07234916988387	3.45372094926106	3.09725246798805	2.69679763725047	2.21321948891215	2.81733460933685	2.49992594794957	3.06669788792832	3.62570775624942	3.83384687473422	2.88066714248514
Rps17	1.73890825140719	2.91335182776911	2.24747785461612	3.67657926120873	2.5448204423659	2.55179456178491	2.40094730049843	3.24222973613881	1.74940116889191	1.89154441056303	2.43375852803162	4.09578221734639	3.51526513034675
Rps18	2.27048315449973	3.61286353616632	2.37879036420348	4.22008211542932	3.19856794470902	2.9852570501847	2.65474065204022	3.27825235159294	1.73784356627148	2.94779795054812	3.39202460499437	4.61936934940097	3.63265273110779
Rps23	2.23578634377103	3.64079349976219	2.88541237622355	4.42391828131781	3.36049709393895	3.33146026790933	3.44616732773129	3.70547080206236	2.88248655781224	3.33255221031069	4.07031911498492	4.42939099031527	4.54084385912576
Rps24	1.76442710990413	3.21626432270937	2.41626457978685	3.54771921916204	2.91622244990291	2.83295291846421	2.77921261473997	3.41761312699586	2.4197647106934	3.76597843145615	3.07094544070417	5.06148375987441	4.28333124400525
Rps27a	1.99058530257758	3.11524359193823	2.60171006614015	3.13720045813754	2.79248653377421	2.63085948584586	2.90664381716386	3.3171465641929	2.23328986798374	2.51779683873247	3.74841440065257	3.97509413895896	3.10160267564059
Rps29	2.29357821944608	3.35446400988416	2.95324276403771	3.82954924977154	2.8197382730931	3.18442926563231	2.90641122721138	3.77086869113562	3.04257583139552	4.05621196395023	3.45603228815332	4.82196816077058	4.71865687303204
S100a11	0.646707164043708	3.36892758300331	0.755657729995767	1.89357619860495	1.14539612670277	0.869364289105219	0.777016133754913	1.47505830581893	1.32293838243031	2.39958776706155	1.50072034258205	0	0
S100a16	0	0.710676907654094	0	1.9001841966665	0	2.18419295660211	0	0	0	0	0.209308087524121	0	0
S100a6	0	3.02805564341743	0	3.29538916454419	0	0	0	0	0	0	2.80964555809565	0	0
S1pr1	0	0	0	0	0	2.46552619655725	0	0	0	0	0	0.539939429927358	0
S1pr3	0	0	0	0.270720009003585	2.5404856906222	0	0	0	0	0	0	0	0
Sat1	0	0	0	0.586597162329066	0	1.94175795643479	0	0	1.82741022204897	0	0.371343611067417	0	0
Scara3	0	1.98411986051289	0	0	0	0	0	0	0	0	0	0	0
Scd2	0	0	0	1.57904899584493	0	0	0	0	0	0	0	0	0
Scg2	3.81655646327604	0	4.24612964188052	0	0	0	3.46033076782033	2.66324114706313	0	0	0	0	0
Scg3	3.36917532902832	0	2.3357704826534	0	0	0	1.86736902554468	2.25919848110751	0	0	0	0	0
Scg5	2.32534671081805	0	2.66248144550019	0	0	0	3.36871839674959	3.34731897613005	0	0	0	0	0
Scgn	0	0	0	0	0	0	1.43098027937173	0.898119785381944	0	0	0	0	0
Sema3f	0	0	0	0	0	1.45126421178423	0	0	0	0	0	0	0
Sema6d	0	0	0	0.32881518306372	1.9869985618163	1.04829448335804	0	0	0	0	0	0	0
Sema7a	0	0	0	0	0	2.7848145548435	0	0	0	1.9241591457658	0.642868369429009	0	0
Serp1	1.79558651724125	0	1.16366243494808	0.807874694805363	1.33526909095095	0	1.03585147874422	1.00553733009337	1.68564378199214	1.65913691191902	1.65412244069447	2.41009134068655	0
Serpine1	0	0	0	2.80333104767144	2.5448204423659	2.74444679953651	0	0	0	0	3.47253772301196	0	0
Serping1	0	0	0	0	3.0284591677973	0	0.618468631482782	0.895581615200022	0	0	2.09135736671902	0	0
Serpinh1	0	0	0	2.08434381647411	2.24723422513038	1.86625800231219	0	0	0	0	3.75077403141864	0	0
Sez6l	0.580325891832544	0	2.02759512109401	0	0	0	0	0	0	0	0	0	0
Sez6l2	1.27334434074564	0	1.63734812051554	0	0	0	1.59833701805154	1.40980380388573	0	0	0	0	0
Sfn	0	1.17376681443441	0	0	0	0	0	0	0	0	0	0	0
Sgk1	0	0	0	0	0	2.93214544391507	0	0	1.71455975405301	0	0	0	0
Sgms2	0	0.962902123771402	0	0	0	0	0	0	0	0	0	0	0
Sh3bgrl3	0	0	0	1.10575684991808	0	0	0	0	2.16865149232012	2.34559029003275	0	2.10389443461758	2.47542790899956
Sh3bp5	0	0	0	1.17243232179947	0	0.961434380747883	0	0	0	0	0	0	0
Slc12a2	0	0	0	0	2.73016863824175	0	0	0	0	0	0	0	0
Slc16a3	0	0	0	0.317462446196933	0	1.35994061025562	0	0	1.12307341867844	0	0.479720186148291	0	0
Slc2a1	0	0	0	0.586597162329066	1.44304497430972	1.6049111754493	0	0	1.09534851252325	0	1.22306062079112	0	0
Slc2a2	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc39a4	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a1	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc7a14	0.512390895456873	0	0.633279043279482	0	0	0	0	0	0	0	0	0	0
Slco3a1	0	1.00378579779257	0	0	0	0	0	0	0	0	0	0	0
Smad6	0	0	0	0	0	1.471115873694	0	0	0	0	0	0	0
Smox	0	0	0	1.18592747371769	0	0	0	0	1.75081433771631	0	0	0	0
Smtn	0	0	0	0.315877153325481	2.70757925367432	0	0	0	0	0	0	0	0
Snrk	0	0	0	0	0	1.78597788116675	0	0	0	0	0	0	0
Sorbs2	0	0.851155329004595	0	0	0	0	0	0	0	0	0	0	0
Sox18	0	0	0	0	0	1.25642432345392	0	0	0	0	0	0	0
Sox4	0	2.56077572646972	0	2.78828929420698	0	2.74444679953651	0	0	0	0	0	0	0
Sox9	0	1.88110213373786	0	0	0	0	0	0	0	0	0	0	0
Sparc	0	0	0	3.25679245323993	3.17871822279911	4.47545531966187	0	0	0	0	5.31683902098241	0	0
Sparcl1	0	0	0	0	0	2.17129464713116	0	0	0	0	0	0	0
Spcs2	1.90142302066275	0	1.93000688748369	1.56364042102195	0.941234669631933	0	1.41897999568908	1.57123356783514	1.59353008561962	0	0.567656913341687	1.95738117992423	0
Spp1	0	2.80725243901071	0	0	0	0	1.37988061547336	1.58215774594589	0	0	0	0	0
Sprr1a	0	1.85778975428904	0	0	0	0	0	0	0	0	0	0	0
Sptan1	0	1.13795889777001	0	0.880735154321311	1.22805135536341	1.38302630526208	0	0	0	0.873498883613745	0	0	0
Srgn	0	0	0	0	0	2.42481537994146	0	0	3.12612277720565	2.55921614801987	0	1.97710771043947	3.23931595199942
Sst	1.56655399003154	2.1579921422326	9.49246764580699	1.00426158694095	2.34868288722102	1.8599904448375	1.75654290524838	1.55220187712677	1.77831714095279	1.80941297829451	0.996319199370931	1.34825607996255	3.23931595199942
St14	0	1.2420089806129	0	0	0	0	0	0	0	0	0	0	0
St18	0	0	0	0	0	0	0	0	0	0	0	0	0
St3gal4	0	0	0	0	0	0	0	0	0	0	0	0	0
Stc1	0	0	0	0	3.38090003413095	0	0	0	0	0	1.39548796117744	0	0
Svil	0	0	0	0	0	0	0	0	0	0	0	0	0
Syndig1l	0.92943786167878	0	0.695563938127933	0	0	0	0	0	0	0	0	0	0
Syt13	1.58053409731958	0	1.45516058554108	0	0	0	1.13230666805631	0.915468290334193	0	0	0	0	0
Syt4	1.25046544205636	0	0	0	0	0	0	0	0	0	0	0	0
Syt7	1.43523633355316	0	1.36639788534365	0	0	0	1.49710220245515	1.14357508886837	0	0	0	0	0
Tagln2	1.2115796751305	3.26926097605826	1.32373656094127	4.32169226427595	1.88166755298019	1.86625800231219	1.10740537589139	1.67598506319554	1.69861455343696	1.86245164689369	3.28546438817015	0	0
Tax1bp3	0	0	0	1.58601177732341	0	1.08260102625626	0	0	0	0	0	0	0
Tcf4	0	0	0	1.06726693876079	1.31025841814591	2.94753994886109	0	0	0	0	0	0.347398600843332	0
Tet2	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgif1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tgm2	0	1.36382334307637	0	0	0	0	0	0	0	0	0	0	0
Thbs1	0	0	0	0	1.07920055466095	3.31551505585528	0	0	0	0	1.48776814623416	0	0
Timp3	0	0.807303681444151	0	2.54962583115916	2.39794151455983	1.33846748718289	0	0	0	0	0	0	0
Tinagl1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tjp2	0	1.1151534729209	0	0	0	0	0	0	0	0	0	0	0
Tm4sf1	0	1.46703341307337	0	3.05433710002925	0	2.14010688447807	0	0	0	0	0	0	0
Tmem176b	1.0550507511107	2.28008676390833	1.02045584502092	0	0	0	1.37988061547336	1.24934550198352	0.511628698813291	2.87917105023552	1.40818115968819	0	0
Tmem204	0	0	0	0	0	1.66387281933758	0	0	0	0	0	0	0
Tmem27	0.903338357075714	0	2.26236002938324	0	0	0	3.46419468230843	3.41084263561873	0	0	0	0	0
Tmem59	1.13654214263621	1.12950261858374	1.7525472125254	1.18972455956745	1.03305931690661	1.87586218749545	2.13507421515265	1.48134763963764	1.25874969100328	0	1.58003453538357	1.23855007270146	0
Tmem65	1.31783693774779	0	0	0.537322438141536	0	0	0	0	0	0	0	0	0
Tmsb4x	0	2.91841460642868	0	3.6748250705478	2.77035080662651	3.42117190472031	1.68711379584026	2.08107495229471	5.35178863475099	7.04482698966565	3.56653557543081	4.98505431353887	4.31898885288742
Tnfaip3	0	0	0	0	0	0	0	0	0	0	0	0	1.71398655560619
Tnfrsf12a	0	1.79592472655746	0	2.53323391633633	1.00262163080683	0	0	0	0	0	0.479720186148291	0	0
Tpi1	1.40563491057439	1.23973502749169	1.77138323684141	1.68864671959782	1.91092929183235	1.55700499395757	1.10740537589139	1.9786026914937	2.68513111453152	1.75086388029644	2.70086557219029	0	0
Tpm1	0	2.20828402791896	0	1.23969992272213	1.96423472669848	0	0	0	0	1.39961822448169	1.91350221643122	0	0
Tpm4	0	2.00218984881348	0	2.5639520189729	2.42037055811893	2.34583361635313	0	0	1.6984998727107	2.64357689225887	3.54937084810895	0	0
Tpt1	3.62299337124122	4.7122977977127	4.06553858848594	4.77361979107163	4.36779106029276	4.76849853843565	4.04695499877038	4.84051432163246	3.93701067475537	4.42375142809436	4.61923578149517	5.53294501504152	5.22845613059523
Trib3	0	0	0	0	0	0	0	0	0	0	0	0	0
Trim47	0	0	0	0.646277629260653	0	0	0	0	0	0	0	0	0
Trp53i11	0	0	0	0	0	1.91764479540023	0	0	0	0	0	0	0
Tsc22d1	0.842142005673658	2.07137813025277	0.747259720947878	0	0	2.0527573141663	1.41897999568908	1.03678569973612	0	0	0	0	0
Tspan7	0.730121771109591	0	0.679202532487007	0	0	0	1.42430348876636	1.59899176593391	0	0	0	0	0
Tspan8	0	1.15352071530842	0.587246476280845	0	0	0	1.83307697457833	0	0	0	0	0	0
Ttr	0.513572811007854	0	0	0	0	0	1.49710220245515	6.11719474095309	0	0	0	0	0
Ttyh1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuba1c	0	1.74437132161531	0	1.45082704759394	1.70283761168482	0	0	0	1.25999852911952	1.90548356876898	1.86987815643673	0	0
Txn1	0	1.57864645224257	0	2.72965625135674	2.22671916369653	1.79864371987698	0	0	1.87780442391333	1.25984555933415	1.61235211919546	0.353522534360156	1.71398655560619
Txnip	0	0	0	0	0	1.19983696405679	0	0	0	0	0	0	0
Ube2i	0	1.02629961887217	0	1.58681983087585	0	1.37969046197093	0	0	0	0	1.1478491647038	0.353522534360156	0
Uchl1	0	0	0	2.34868102633395	0	0	0.842341915001739	0	0	0	0	0	0
Ucn3	0	0	0	0	0	0	0	0	0	0	0	0	0
Ucp2	0	0	0.980329895773176	1.31623744331069	0	0	1.33806679075125	0.90464810287137	3.3135500430454	1.54205863326517	0	1.61262936087385	1.71398655560619
Unc5b	0	0	0	0	0	1.27963689905916	0	0	0	0	0.492744951161353	0	0
Vcam1	0	0	0	0	0	0	0	0	0	0	0	0	0
Vgf	0.700461731328578	0	0	0	0	0	0	2.24190377788513	0	0	0	0	0
Vim	0	0	0	5.09369658575097	3.6171413984166	1.55700499395757	0	0	3.11806691335226	0	4.26173036848884	0	0
Vmp1	0	1.36382334307637	0	1.12281724836812	0	0	1.18410503682114	0	1.06558891229907	0	1.40844015752533	0.589728191916926	0
Wbp5	2.28474735123315	0.962501369614396	2.08940054353957	0.733709330277122	1.96767363833228	1.05958367417171	2.12687308704398	2.29114625011093	0	0	0	0	1.82459334941945
Wfdc18	0	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc2	0	0	0	0	0	0	0	0	0	0	0	0	0
Wipi1	0	0	0	0.315877153325481	0	0	0	0	0	0	0	0	0
Wls	1.22938964724954	0	0	0	0	0	0	0	0	0	0	0	0
Wnt4	0	0	0	0	0	0	1.58845695087249	1.13174468840688	0	0	0	0	0
Wwtr1	0	0	0	0.862321727030342	0	1.44587866959416	0	0	0	0	0.567656913341687	0	0
Xist	2.52276513265149	2.26558675893742	3.03954024241911	1.71712419573389	0	0	2.66640015108005	2.95757763820815	0	0	1.57845840108514	1.73028461861294	2.26058545353588
Ypel2	0	0	0	0	0	0	0	0	0	0	0	0	0
Zfp36	0	1.38016595141096	0	0	0	1.00088063576933	0.777016133754913	0	1.93091148115636	2.98148806153496	0	0	2.47542790899956
Zfp36l1	0	2.92778004669008	0	0	1.55404538554344	1.44587866959416	0	0	0	3.00499515796584	0.69051136049525	0.353522534360156	0
