muller	rods	bipolar	amacrine	cones	vascular_endothelium	ganglion	horizontal	pericytes	astrocytes	microglia	fibroblasts
Prom1	0	0	0	0	0.745040894080974	0	0	0	0	0	0	0
Prox1	0	0	0.822482515410713	0	0	0	0	1.41076535592251	0	0	0	0
Prph2	0	2.89268232245967	0	0	2.39431937794128	0	0	0	0	0	0	0
Prss56	0	0	0	0	0	0	0	0	0	0	0	0
Psors1c2	0	0	0	0	0	0	0	0	0	0	0	0
Ptn	1.50176237729012	0	0	0	0	0	0	0	0	3.12761218577012	0	2.2640674824714
Ptprb	0	0	0	0	0	1.93245267692602	0	0	0	0	0	0
Ptprq	0	0	0	0	0	0	0	0	0	0	0	0
Rbm25	0.632640894812626	0	1.04432877314194	1.13679324788216	0.953931785334108	1.05392718930175	0.729221986197128	0.909376660310021	0.602093268777427	0	0.648938715442429	0.609824505644844
Rbp3	0	0	0	0	1.49145183393822	0	0	0	0	0	0	0
Rbpjl	0	0	0	0	0	0	0	0	0	0	0	0
Rcvrn	0	2.78079449203654	0	0	2.66024055164753	0	0	0	0	0	0	0
Rdh12	0	1.28758393827456	0	0	1.03197544396578	0	0	0	0	0	0	0
Recql5os1	0	0	0	0	0	0	0	0	0	0	0	0
Reep6	0	0	0	0	0	0	0	0	0	0	0	0
Rgs1	0	0	0	0	0	0	0	0	0	0	0	0
Rgs5	0	0	0	0	0	1.95203555857929	0	0	5.40157618484556	1.68594134746175	0	0
Rgs9	0	0	0	0	0.909118690375617	0	0	0	0	0	0	0
Rgs9bp	0	0	0	0	0	0	0	0	0	0	0	0
Rho	0	4.60720866688069	0.993525291297549	0.774336233017008	3.51967317619912	0.0533414641401392	0	0	0.398560664217444	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	0
Rlbp1	2.82871749810936	0	0	0	0	0	0	0	0	0.96569328603266	0	0
Rom1	0	2.42535358116691	0.521439594982993	0	1.94945421803977	0	0	0	0	0	0	0
Rp1	0	2.64561202163564	0	0	1.91040068262989	0	0	0	0	0	0	0
Rpe65	0	0	0	0	0	0	0	0	0	0	0	0
Rpgrip1	0	2.78130583202693	0	0	2.31000906228831	0	0	0	0	0	0	0
Rpl39l	0	0	0	0	0	0	0	0	0	0	0	0
Rs1	0	2.0581202709387	0	0	1.96424007486965	0	0	0	0	0	0	0
Rspo2	0	0	0	0	0	0	0	0	0	0	0	0
Rtbdn	0	0	0	0	1.17745990694769	0	0	0	0	0	0	0
Rtp3	0	0	0	0	0	0	0	0	0	0	0	0
S100b	0	0	0	0	0	0	0	0	0	2.09015507790703	0	0
Sag	0	4.28612909635545	0.837450132696303	0.630143608341526	3.86701780372757	0	0	0	0	0	0	0
Samd11	0	0.989323250994792	0	0	0.499049477980535	0	0	0	0	0	0	0
Samd7	0	0	0	0	0	0	0	0	0	0	0	0
Scg2	0	0	0.662290413750586	0	0	0	1.00697672665006	0	0	0	0	0
Scgn	0	0	0	0	0	0	0	0	0	0	0	0
Selplg	0	0	0	0	0	0	0	0	0	0	0.777777570661001	0
Shbg	0	0	0	0	0	0	0	0	0	0	0	0
Siglech	0	0	0	0	0	0	0	0	0	0	1.57551840471339	0
Slc17a6	0	0	0	0	0	0	1.17258026660927	0	0	0	0	0
Slc17a8	0	0	0	0	0	0	0	0	0	0	0	0
Slc1a3	2.17548781183416	0	0	0	0	0	0	0	0	1.55500815813679	0	0
Slc24a1	0	2.05226165780014	0	0	1.24494287584405	0	0	0	0	0	0	0
Slc4a7	0	0	0	0	0	0	0	0	0	0	0	0
Slc5a7	0	0	0	0	0	0	0	0	0	0	0	0
Slc6a1	0	0	0	0.216423084283388	0	0	0	0	0	0	0	0
Slco1a4	0	0	0	0	0	0.914526710570498	0	0	0	0	0	0
Slco4a1	0	0	0	0	0	0	0	0	0	0	0	0
Sncg	0	0	0	0	0	0	2.0020115131586	0	0	0	0	0
Snhg11	0	0	0	2.03622922763626	0	0	2.52017568588443	2.91581647618748	0	0	0	0
Sntb2	0	0	0	0	0	0	0	0	0	0	0	0
Sparc	2.40864500497617	0	0	0	0	3.59125395994703	0	0	2.58530246468835	2.90548487583425	2.60761809402554	2.97124471321814
Sparcl1	0	0	0	0	0	2.67054355367741	0.881107940946246	0.61553868379892	2.22677804323098	0.552168087852628	0	0
Spc25	1.94720656015224	0	0	0	0	0	0	0	0	0	0	0
Spo11	0	0	0	0	0	0	0	0	0	0	0	0
Srp54b	0	0	0	0	0	0	0	0	0	0	0	0
Sst	0	0	0	0	0	0	0	0	0	0	0	0
Stmn2	0	0	0	0	0	0	2.06041254032675	0.96756881667212	0	0	0	0
Sult1c1	0	0	0	0	0	0	0	0	0	0	0	0
Susd3	0	0	0	0	0	0	0	0	0	0	0	0
Syne2	0	0	0	0	0	0	0	0	0	0	0	0
Syt1	0	0	1.56752091831348	2.08724902336763	1.22949856803798	0	1.86843087414368	1.00281243099745	0	0	0	0
Tac1	0	0	0	0	0	0	0	0	0	0	0	0
Tac2	0	0	0	0	0	0	0	0	0	0	0	0
Tax1bp1	0	1.49502789666176	0	0.625032794911967	1.65970728542192	0.523561377589641	0.831122901028436	0.852121298368637	0.726842688040465	0.423399442935119	0	0.408028879289763
Tbx19	0	0	0	0	0	0	0	0	0	0	0	0
Tex37	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2b	0	0	0	0	0	0	0	1.70467482690868	0	0	0	0
Timp3	1.16887954911701	0	0	0	0	0	0	0	0.690174855009249	1.04496396072585	0	1.71354278300531
Tm4sf1	0	0	0	0	0	0.716094444907994	0	0	0.726842688040465	0	0	0
Tma7	0	1.59014207074188	0	0	1.46349559874788	0	0	0	0	0	0	0
Tmem119	0	0	0	0	0	0	0	0	0	0	0	0
Tmem233	0	0	0	0	0	0	0	0	0	0	0	0
Tmem30b	0	0	0	0	0	0	0	0	0	0	0	0
Tnf	0	0	0	0	0	0	0	0	0	0	0	0
Tpo	0	0	0	0	0	0	0	0	0	0	0	0
Trem2	0	0	0	0	0	0	0	0	0	0	1.25029130675158	0
Trim29	0	0	0	0	0	0	0	0	0	0	0	0
Trim60	0	0	0	0	0	0	0	0	0	0	0	0
Trpm1	0	0	1.75252095630442	0	0	0	0	0	0	0	0	0
Tspo2	0	0	0	0	0	0	0	0	0	0	0	0
Ttc3	0	0	1.17741668926696	1.88450600573134	0	0	2.19638171215838	1.55886096602343	0	0.328223603826633	0	0.601661594099552
Tulp1	0	2.73164608079037	0	0	2.89920976159011	0	0	0	0	0	0	0
Tyrobp	0	0	0	0	0	0	0	0	0	0	1.64112566556073	0
Unc119	0	2.00878402032494	1.0599543457219	0	2.0032917400506	0	0	0	0	0	0	0
Vim	1.01164958425202	0	0	0	0	1.13450419220038	0	2.24359703900426	0.846875954573276	1.09550419350508	0	0.868219109954114
Vip	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r217	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r59	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r69	0	0	0	0	0	0	0	0	0	0	0	0
Vmn2r61	0	0	0	0	0	0	0	0	0	0	0	0
Vsx1	0	0	0	0	0	0	0	0	0	0	0	0
Vsx2	0	0	0.826172666580707	0	0	0	0	0	0	0	0	0
Vtn	0	0	0	0	0	0	0	0	0.951444799069726	0	0	0
Wdr17	0	0	0	0	0	0	0	0	0	0	0	0
Wdr60	0	0	0	0	0	0	0	0	0	0	0	0
Wdr63	0	0	0	0	0	0	0	0	0	0	0	0
Wfdc3	0	0	0	0	0	0	0	0	0	0	0	0
Xist	0	0	1.53563957775237	0.957547773551503	0.728670387298397	0	0	0.58949090226913	0	0	0	0
Ybx3	0	0.609418424122259	0	0	0.689036468568438	0	0	0	0	0	0	0
Zbtb20	0	0	0	0	0	0	0	0	0	0.141060077055087	0	0
Zfp36	0	0	0	0	0	0	0	0	0	0	1.64112566556073	0
Zfp36l1	0.767546145707368	0	0	0	0	0.415844477479739	0	0	0	0	0	0
Znrf4	0	0	0	0	0	0	0	0	0	0	0	0
