2i	a2i	lif
4930513N10Rik	7.71627243776056	7.05551288719144	1.19390676735294
Crxos	8.91429846185718	1.99896104511848	0
Arrdc3	6.43442729807605	6.93583563600079	7.80603875157373
Itpripl1	6.12742841795242	7.95268652130745	8.15095067063249
Accsl	8.13239154422074	6.73502531022479	0
Bnip3	6.61937761540899	7.8938331158565	10.5383388684756
Wdr92	8.16727945393709	7.4143306700113	7.52162458657156
Gm7325	5.21822331320264	8.77284373349962	7.54327520551679
2210409E12Rik	6.99958659258177	5.69881479613237	0
H2-M6-ps	8.09560860910662	7.62966303117538	0
Gm15614	3.17855769201769	0	1.49328485492441
Gt(ROSA)26Sor	2.42094362881864	5.26883127107709	5.64815503930916
Gm13580	6.90249298249235	4.56109237817218	0
9830144P21Rik	6.23207670696225	6.18856891938481	6.53759083104617
Platr22	0	7.06973231805524	8.58892344525437
Rian	6.46409768429468	9.49935846896791	9.51334545011944
B830012L14Rik	0.608540126511259	4.67939328243812	7.46831260347883
